ROUTE_ID,노선명
100100124,0017
104000007,01A
104000008,01B
100100001,02
100100002,03
106000002,04
100100549,100
100100006,101
100100129,1014
100100130,1017
100100007,102
100100131,1020
100100008,103
100100009,104
100100010,105
100100011,106
100100012,107
100100013,108
100100014,109
100100016,110A고려대
100100015,110B국민대
100100132,1111
100100133,1113
100100134,1114
100100566,1115
107000001,1116
100100137,1119
100100138,1120
100100425,1122
100100139,1124
100100142,1126
100100143,1127
100100144,1128
100100145,1129
100100146,1130
100100147,1131
100100148,1132
100100149,1133
100100150,1135
100100151,1136
100100152,1137
100100153,1138
100100154,1139
100100155,1140
100100156,1141
100100157,1142
100100158,1143
100100159,1144
100100164,1154
100100165,1155
100100166,1156
100100170,1162
100100171,1164
100100172,1165
108000002,1167
100100017,120
100100583,121
100100175,1213
100100177,1218
100100178,1221
100100179,1222
100100181,1224
100100183,1226
100100184,1227
100100018,130
100100019,140
100100020,141
100100021,142
100100022,143
100100023,144
100100024,145
100100025,146
100100026,147
100100027,148
100100029,150
100100030,151
100100031,152
100100032,153
100100033,160
100100034,162
100100036,171
100100185,1711
100100037,172
110000002,173
100100038,201
100100186,2012
100100188,2013
100100189,2014
100100190,2015
100100522,2016
100100039,202
100100191,2112
100100192,2113
100100193,2114
100100598,2115
100100194,2211
100100198,2221
100100199,2222
100100201,2224
100100202,2227
100100203,2230
100100204,2233
100100205,2234
100100206,2235
100100599,2311
100100611,2312
100100407,240
100100595,241
100100209,2412
100100210,2413
100100211,2415
104000006,242
100100042,260
100100043,261
100100044,262
100100046,270
100100047,271
100100048,272
100100049,273
100100051,301
100100438,3011
100100579,3012
100100052,302
100100053,303
100100564,320
100100212,3212
100100213,3214
100100215,3216
100100216,3217
100100218,3220
100100219,3313
100100220,3314
100100221,3315
100100222,3316
100100478,3317
100100498,3318
100100501,3319
100100578,3321
100100613,3322
100100496,333
100100055,340
100100056,341
100100223,3411
100100224,3412
100100225,3413
100100226,3414
100100228,3416
100100229,3417
124000038,342
100100232,3422
100100609,3425
100100612,3426
107000002,343
100100553,350
100100057,360
124000036,362
100100061,370
100100596,400
100100062,401
100100063,402
100100597,405
100100064,406
100100068,420
100100409,421
100100604,4211
100100234,4212
100100500,4312
100100237,4318
100100427,4319
100100459,440
100100070,441
100100454,4419
100100246,4432
100100247,4433
122000001,4435
113000002,452
100100071,461
100100605,463
100100073,470
100100075,472
100100076,500
100100077,501
100100248,5012
100100410,502
100100078,503
100100079,504
100100080,505
100100081,506
100100082,507
100100083,540
100100574,541
100100249,5413
100100603,542
100100250,5511
100100251,5513
100100252,5515
100100253,5516
100100254,5517
100100255,5519
100100257,5522A난곡
100100258,5522B호암
100100259,5523
100100260,5524
100100261,5525
100100263,5528
100100264,5530
100100265,5531
100100267,5535
100100268,5536
100100269,5537
100100272,5615
100100273,5616
100100274,5617
100100275,5618
100100276,5619
100100277,5620
100100278,5621
100100279,5623
100100280,5624
100100281,5625
100100282,5626
100100283,5627
100100284,5630
100100285,5633
100100266,5634
100100084,571
100100286,5712
100100287,5713
100100288,5714
100100085,600
100100507,6009
100100086,601
100100087,602
100100088,603
100100089,604
100100090,605
100100091,606
100100513,6100
100100373,6101
100100289,6211
100100093,640
100100094,641
100100290,6411
100100096,643
100100097,650
100100098,651
100100291,6511
100100292,6512
100100293,6513
100100294,6514
100100521,6515
100100576,6516
100100099,652
100100497,653
115000007,654
116000004,660
100100102,661
100100295,6611
100100453,6613
100100297,6614
116000002,6615
100100298,6616
100100299,6617
100100550,662
100100300,6620
100100301,6623
100100302,6624
100100303,6625
100100304,6627
100100305,6628
100100306,6629
100100307,6630
100100308,6631
100100309,6632
100100311,6635
100100312,6637
100100313,6638
100100601,6640A
100100602,6640B
100100316,6642
100100318,6645
100100320,6647
115000005,6648
114000001,6649
100100322,6654
100100329,6657
100100330,6712
100100331,6714
100100332,6715
100100451,6716
100100495,672
100100551,673
111000008,674
100100440,700
100100103,701
100100450,7011
100100449,7013A
100100448,7013B
100100447,7016
100100337,7017
100100338,7018
100100339,7019
100100340,7021
100100341,7022
100100342,7024
100100446,7025
100100104,702A서오릉
100100105,702B용두초교
100100107,704
100100587,705
100100511,707
123000011,708
100100110,710
100100111,720
100100112,721
100100344,7211
100100499,7212
100100537,740
123000010,741
100100116,742
100100114,750A
100100565,750B
100100117,752
100100118,753
111000014,761
100100345,7611
100100346,7612
100100347,7613
100100437,771
100100348,7711
100100349,7713
100100462,7715
124000008,7719
100100352,7720
100100353,7722
100100354,7723
100100357,7726
100100358,7727
100100359,7728
111000011,773
100100360,7730
111000010,7734
100100363,7737
100100364,7738
100100552,7739
111000012,774
107000003,8002
107000004,8003
110000003,8112
106000001,8221
124000010,8331
103000001,8441
100100383,8541
108000001,8551
116000001,8552
113000001,8761
111000009,8771
100100525,8772
100100387,8774
112000001,8777
100100389,9401
100100390,9403
100100391,9404
100100392,9408
100100397,9701
100100398,9703
100100400,9707
100100607,9711
100100406,9714
100100593,N13
100100610,N15
100100592,N16
100100586,N26
100100591,N30
100100585,N37
100100589,N61
100100588,N62
115000008,N65
100900016,TOUR01
101000001,TOUR02
101000002,TOUR03
101000003,TOUR04
100000017,TOUR11
100000018,TOUR12
122900003,강남01
122900006,강남02
122900004,강남03
122900002,강남05
122900005,강남06
122900007,강남06-1
122900010,강남06-2
122900001,강남07
122900008,강남08
122900009,강남10
124900002,강동01
124900003,강동02
124900001,강동05
108900006,강북01
108900002,강북02
108900003,강북03
108900005,강북04
108900008,강북05
108900007,강북06
108900013,강북08
108900004,강북09
108900009,강북10
108900001,강북11
108900012,강북12
115900006,강서01
115900003,강서02
115900004,강서03
115900001,강서04
115900005,강서05
115900008,강서05-1
115900002,강서06
115900007,강서07
120900005,관악01
120900008,관악02
120900003,관악03
120900009,관악04
120900010,관악05
120900004,관악06
120900006,관악07
120900007,관악08
120900002,관악10
114900004,관악11
104900005,광진01
104900003,광진02
104900002,광진03
104900001,광진04
104900004,광진05
116900013,구로01
116900014,구로02
116900010,구로03
116900011,구로04
116900009,구로05
116900012,구로06
116900006,구로07
116900015,구로08
116900007,구로09
116900003,구로10
116900004,구로11
116900002,구로12
116900001,구로13
116900005,구로14
116900016,구로15
117900008,금천01
117900006,금천02
117900003,금천03
117900002,금천04
117900001,금천05
117900004,금천06
117900007,금천07
117900005,금천08
117900010,금천11
110900004,노원01
110900009,노원02
110900005,노원03
110900001,노원04
110900003,노원05
110900007,노원08
110900006,노원09
110900002,노원11
110900008,노원13
109900011,노원14
109900010,노원15
109900001,도봉01
108900010,도봉02
109900007,도봉03
109900008,도봉04
109900004,도봉05
109900003,도봉06
109900002,도봉07
109900006,도봉08
109900005,도봉09
105900003,동대문01
105900002,동대문02
105900006,동대문03
105900001,동대문05
119900007,동작01
119900013,동작02
119900020,동작03
119900022,동작05
119900023,동작05-1
119900014,동작06
119900018,동작07
119900009,동작08
119900019,동작09
119900006,동작10
119900011,동작11
119900021,동작12
120900001,동작13
119900012,동작14
119900010,동작15
119900017,동작16
119900016,동작17
119900015,동작18
119900008,동작19
119900001,동작20
119900024,동작21
102900001,마포01
113900005,마포02
113900002,마포03
113900011,마포05
113900012,마포06
113900010,마포07
113900013,마포08
113900015,마포09
113900008,마포10
113900004,마포11
113900003,마포12
113900007,마포13
113900006,마포14
113900014,마포15
113900009,마포16
113900001,마포17
113900016,마포18
113900017,마포18-1
112900010,서대문01
112900014,서대문02대
112900015,서대문02소
112900004,서대문03
112900011,서대문04
112900009,서대문05
112900007,서대문06
112900003,서대문07
100900012,서대문08
112900012,서대문09대
112900013,서대문09소
112900001,서대문10
112900006,서대문11
112900002,서대문12
112900005,서대문13
112900008,서대문14
108900014,서대문15
121900009,서초01
121900008,서초02
121900005,서초03
119900003,서초05
119900002,서초06
121900011,서초07
121900002,서초08
121900007,서초09
121900003,서초10
121900006,서초11
121900013,서초13
121900010,서초14
121900012,서초15
119900005,서초16
119900004,서초17
121900016,서초18
121900015,서초18-1
121900004,서초20
121900001,서초21
121900014,서초22
103900003,성동01
103900004,성동02
103900011,성동03-1
103900012,성동03-2
101900001,성동05
103900007,성동06
103900005,성동07
103900002,성동08
103900001,성동09
103900008,성동10
103900009,성동12
103900010,성동13
103900013,성동14
107900008,성북01
107900003,성북02
107900002,성북03
107900005,성북04
107900011,성북05
107900012,성북06
107900013,성북07
107900007,성북08
107900006,성북09
107900014,성북10-1
107900017,성북10-2
107900004,성북12
107900001,성북13
107900010,성북14-1
107900016,성북14-2
107900015,성북15
105900004,성북20
105900005,성북21
107900009,성북22
114900001,양천01
114900002,양천02
114900003,양천03
116900018,양천04
116900008,영등포01
118900004,영등포02
118900005,영등포03
118900001,영등포04
118900006,영등포05
118900003,영등포06
118900002,영등포07
118900007,영등포08
116900017,영등포09
118900008,영등포10
118900009,영등포11
114900006,영등포12
114900005,영등포13
102900003,용산01
102900002,용산02
102900004,용산03
101900002,용산04
111900002,은평01
111900003,은평02
111900001,은평03
111900004,은평04
111900005,은평05
111900007,은평06
111900006,은평07
111900011,은평08-1
111900012,은평08-2
111900009,은평09
111900010,은평10
100900006,종로01
100900008,종로02
100900010,종로03
100900011,종로05
100900004,종로07
100900005,종로08
100900003,종로09
100900007,종로11
100900009,종로12
100900002,종로13
106900001,중랑01
106900002,중랑02
